ProcessName,Foreground,Background,DownloadBytes,UploadBytes,IoReadBytes,IoWriteBytes
"Console Window and PTY Host (Open Source)",0,79597,0,0,0,0
"Crashpad Handler",0,79597,0,0,0,0
"DevHub.exe",0,79597,0,0,0,0
"LivePreviewSurface.exe",0,79597,0,0,0,0
"LockApp.exe",0,79597,0,0,0,0
"Microsoft Edge WebView2",0,79597,0,0,0,0
"Microsoft Office SDX Helper",0,79597,0,0,0,0
"Microsoft Visual Studio",0,79597,0,0,0,0
"Microsoft® Windows® Operating System",0,79597,0,0,0,0
"MSBuild.exe",0,79597,0,0,0,0
"MusNotifyIcon.exe",0,79597,0,0,0,0
"Node.js JavaScript Runtime",0,79597,0,0,0,0
"OnKeySvr",0,79597,0,0,0,0
"PerfWatson2.exe",0,79597,0,0,0,0
"Process Lasso Session Agent",0,79597,0,0,0,0
"Razer THX0529 Helper",0,79597,0,0,0,0
"Realtek HD Audio Universal Service",0,79597,0,0,0,0
"Realtek高清晰音频管理器",0,79597,0,0,0,0
"Runtime Broker",0,79597,0,0,0,0
"Search application",0,79597,0,0,0,0
"ServiceHub.IntellicodeModelService.exe",0,79597,0,0,0,0
"Shell Infrastructure Host",0,79597,0,0,0,0
"System Settings Broker",0,79597,0,0,0,0
"User OOBE Broker",0,79597,0,0,0,0
"Video Application",0,79597,0,0,0,0
"VisiSonics Windows Helper App",0,79597,0,0,0,0
"Windows PowerShell",0,79597,0,0,0,0
"Windows Security notification icon",0,79597,0,0,0,0
"Windows Shell Experience Host",0,79597,0,0,0,0
"Windows Terminal Host",0,79597,0,0,0,0
"Windows 主进程 (Rundll32)",0,79597,0,0,0,0
"Windows 任务的主机进程",0,79597,0,0,0,0
"Windows 服务主进程",0,79597,0,0,0,0
"Windows 资源管理器",0,79597,0,0,0,0
"天地融websocket服务",0,79597,0,0,0,0
"控制台窗口主机",0,79597,0,0,0,0
"百度中文输入法服务程序",0,79597,0,0,0,0
"设置",0,79597,0,0,0,0
"crashpad_handler",0,62949,0,0,0,0
"Google Chrome",0,51754,0,0,0,0
"backgroundTaskHost",0,40065,0,0,0,0
"Background Task Host",0,21031,0,0,0,0
"Google Updater (x64)",0,10686,0,0,0,0
"sppsvc",0,8351,0,0,0,0
"frpc",0,7625,0,221,0,0
"winsw",0,7625,0,0,0,0
"updater",0,7000,0,0,0,0
